id,en_sent,en_amr,cn_sent,cn_amr,fa_sent,fa_amr
11,"But they answered : "" Frighten ?","(c / contrast-01
  :ARG2 (a / answer-01
          :ARG0 (t / they)
          :ARG2 (f / frighten-01
                  :mode interrogative)))",他们 回答 我 说 ： ” 害怕 ？,"(x2_x4 / 回答-01
      :arg0()  (x1 / 他们)
      :arg3()  (x3 / 我)
      :arg2()  (x7 / 害怕-01)
      :mode()  (x8 / interrogative))",اما آنها جواب‌دادند : چرا بترسیم ؟,"(c2 / contrast-01
      :ARG2 (x / جواب‌دادن
            :ARG0 (x2 / آنها)
            :ARG2 (x3 / ترسیدن
                  :ARG0 x2
                  :ARG1-of (c / cause-01
                        :ARG0 (a / amr-unknown)))))"
12,"Why should any one be frightened by a hat ? ""","(f / frighten-01
  :ARG0 (h / hat)
  :ARG1 (o / one
          :mod (a / any))
  :ARG1-of (c / cause-01
             :ARG0 (a2 / amr-unknown)))",“ 一 顶 帽子 有 什么 可怕 的 ？ ”,"(x11 / say
      :arg1()  (x7 / 可怕-01
            :arg0()  (x4 / 帽子
                  :quant()  (x2 / 1)
                  :cunit()  (x3 / 顶))
            :mode()  (x9 / interrogative)
            :smood()  (x8 / 的)
            :cause()  (x5_x6 / amr-unknown)))",کلاه که ترس ندارد .,"(x / ترسناک :polarity -
      :domain (x2 / کلاه))"
13,My drawing was not a picture of a hat .,"(p / picture-01 :polarity -
      :ARG0 (p2 / picture
            :ARG1-of (d / draw-01
                  :ARG0 (i / i)))
      :ARG1 (h / hat))",我 画 的 不 是 帽子 ，,"(x6 / 帽子
      :domain(x5)  (x10 / thing
            :arg1-of(x3)  (x2 / 画-01
                  :arg0()  (x1 / 我)))
      :polarity()  (x4 / -))",اما نقاشی من شکل کلاه نبود .,"(c / contrast-01
      :ARG2 (x4 / مشابه‌بودن :polarity -
            :ARG1 (x / نقاشی
                  :poss (x2 / من))
            :ARG2 (x3 / کلاه)))"
14,It was a picture of a boa constrictor digesting an elephant .,"(p / picture-01
  :ARG0 (i / it)
  :ARG1 (b2 / boa
          :mod (c / constrictor)
          :ARG0-of (d / digest-01
                     :ARG1 (e / elephant))))",是 一 条 巨蟒 在 消化 着 一 头 大象 。,"(x6 / 消化-01
      :arg0()  (x4 / 巨蟒
            :quant()  (x2 / 1)
            :cunit()  (x3 / 条))
      :aspect()  (x7 / 着)
      :time()  (x5 / 在-01)
      :arg1()  (x10 / 大象
            :quant()  (x8 / 1)
            :cunit()  (x9 / 头))
      :domain(x1)  (x22 / thing))",تصویر مار بوآ بود که فیلی را هضم می‌کرد .,"(x / تصویر
      :domain (x2 / مار
            :mod (x3 / بوآ)
            :ARG0-of (x4 / هضم‌کردن
                  :ARG1 (x5 / فیل))))"
15,"But since the grown - ups were not able to understand it , I made another drawing : I drew the inside of the boa constrictor , so that the grown - ups could see it clearly .","(c / contrast-01
      :ARG2 (a2 / and
            :op1 (d3 / draw-01
                  :ARG0 (i / i)
                  :ARG1 (p2 / picture
                        :mod (a / another))
                  :ARG1-of (c3 / cause-01
                        :ARG0 (p3 / possible-01 :polarity -
                              :ARG1 (u / understand-01
                                    :ARG0 (g / grown-up)
                                    :ARG1 (i2 / it)))))
            :op2 (d / draw-01
                  :ARG0 i
                  :ARG1 (i3 / inside
                        :part-of (b2 / boa
                              :mod (c4 / constrictor)))
                  :purpose (p / possible-01
                        :ARG1 (s / see-01
                              :ARG0 g
                              :ARG1 (i4 / it)
                              :ARG1-of (c2 / clear-06))))))",既然 大人们 不 能够 理解 。 于是 我 又 把 巨蟒 肚子 里 的 情况 画 了 出来 ， 以便 让 大人们 能够 看懂 。,"(x29 / causation
      :arg1(x1)  (x4 / 能够-01
            :arg0()  (x2 / 大人们)
            :polarity()  (x3 / -)
            :arg1()  (x5 / 理解-01))
      :arg2(x7)  (x16_x18 / 画-01
            :arg0()  (x8 / 我)
            :mod()  (x9 / 又)
            :aspect()  (x17 / 了)
            :arg1(x10)  (x15 / 情况
                  :location(x13_x14)  (x12 / 肚子
                        :part-of()  (x11 / 巨蟒)))
            :purpose(x20)  (x21 / 让-02
                  :arg1()  (x22 / 大人们)
                  :arg2()  (x23 / 能够-01
                        :arg1()  (x24 / 看懂-01
                              :arg0()  (x22 / 大人们))))))",آن وقت من داخل شکم مار بوآ را کشیدم تا آدم بزرگ‌ها بتوانند بفهمند .,"(x / نقاشی‌کردن
      :ARG0 (x2 / من)
      :ARG1 (x3 / داخل
            :part-of (x4 / شکم
                  :part-of (x5 / مار
                        :mod (x6 / بوآ))))
      :purpose (x7 / توانستن
            :ARG1 (x10 / فهمیدن
                  :ARG0 (x8 / آدم‌
                        :mod (x9 / بزرگ)))))"
16,They always need to have things explained .,"(n / need-01
      :ARG0 (t / they)
      :ARG1 (e / explain-01)
      :time (a / always))",这些 大人 总是 需要 解释 。,"(x4 / 需要-01
      :arg0()  (x2 / 大人
            :mod()  (x1 / 这些))
      :mod()  (x3 / 总是)
      :arg1()  (x5 / 解释-01))",آدم بزرگ‌ها همیشه نیاز به توضیح دارند .,"(x / نیازداشتن
      :ARG0 (x2 / آدم‌
            :mod (x3 / بزرگ))
      :ARG1 (x4 / توضیح‌دادن
            :ARG1 x2)
      :time (x5 / همیشه))"
17,"My Drawing Number Two looked like this : The grown - ups ' response , this time , was to advise me to lay aside my drawings of boa constrictors , whether from the inside or the outside , and devote myself instead to geography , history , arithmetic and grammar .","(a6 / and
      :op1 (l / look-02
            :ARG0 (p / picture :wiki - :name (n / name :op1 ""Drawing"" :op2 ""Number"" :op3 ""Two"")
                  :poss i)
            :ARG1 (t2 / this))
      :op2 (r / respond-01
            :ARG0 (g / grown-up)
            :ARG1 (i / i)
            :ARG2 (a / advise-01
                  :ARG0 g
                  :ARG1 i
                  :ARG2 (a3 / and
                        :op1 (l2 / lay-01
                              :ARG0 i
                              :ARG1 (p2 / picture
                                    :ARG1-of (d2 / draw-01
                                          :ARG0 i)
                                    :topic (b2 / boa
                                          :mod (c2 / constrictor)
                                          :mod (o / or
                                                :op1 (i2 / inside)
                                                :op2 (o2 / outside))))
                              :ARG2 (a2 / aside))
                        :op2 (d3 / devote-01
                              :ARG0 i
                              :ARG1 i
                              :ARG2 (a4 / and
                                    :op1 (g2 / geography)
                                    :op2 (h / history)
                                    :op3 (a5 / arithmetic)
                                    :op4 (g3 / grammar))
                              :ARG1-of (i4 / instead-of-91
                                    :ARG2 d2))))
            :time (t4 / time
                  :mod (t5 / this))))",我 的 第二 号 作品 是 这样 的 ： 大人们 劝 我 把 这些 画 着 开 着 肚皮 的 ， 或 闭上 肚皮 的 蟒蛇 的 图画 放 在 一边 ， 还是 把 兴趣 放 在 地理 、 历史 、 算术 、 语法 上 。,"(x7 / 这样
      :arg0()  (x5 / 作品
            :poss(x2)  (x1 / 我)
            :ord()  (x54 / ordinal-entity
                  :value()  (x3 / 2)
                  :cunit()  (x4 / 号-01)))
      :mode()  (x6_x8 / judgement)
      :arg0-of()  (x59 / mean
            :arg1()  (x11 / 劝-01
                  :arg0()  (x10 / 大人们)
                  :arg1()  (x12 / x1)
                  :arg2()  (x91 / and
                        :op1()  (x29 / 放-01
                              :arg0()  (x12 / x1)
                              :arg1()  (x28 / 图画
                                    :mod(x27)  (x15 / 画-01
                                          :aspect()  (x16 / 着)
                                          :arg1()  (x26 / 蟒蛇
                                                :arg0-of()  (x22 / or
                                                      :op1(x20)  (x17 / 开
                                                            :arg1()  (x19 / 肚皮)
                                                            :aspect()  (x18 / 着))
                                                      :op2(x25)  (x23 / 闭上-01
                                                            :arg1()  (x24 / 肚皮))))))
                              :arg2()  (x31 / 一边))
                        :op2()  (x36 / 放-01
                              :arg1(x34)  (x35 / 兴趣)
                              :mod()  (x33 / 还是)
                              :arg2(x37_x45)  (x109 / and
                                    :op1()  (x38 / 地理)
                                    :op2()  (x40 / 历史)
                                    :op3()  (x42 / 算术)
                                    :op3()  (x44 / 语法)))))))",تصویر شماره 2 من چنین بود ، آدم بزرگ‌ها به من نصیحت کردند که کشیدن مار بوآی باز یا بسته را کنار بگذارم و بیشتر به جغرافیا و تاریخ و حساب و دستور بپردازم .,"(x / و
      :op1 (x10 / مشابه‌بودن
            :ARG1 (x23 / این)
            :ARG2 (x2 / تصویر :wiki - :name (n / name :op1 ""تصویر"" :op2 ""شماره"" :op3 ""2"")
                  :poss (x3 / من)))
      :op2 (x4 / نصیحت‌کردن
            :ARG0 (x5 / آدم‌
                  :mod (x6 / بزرگ))
            :ARG1 x3
            :ARG2 (x7 / و
                  :op1 (x8 / کنار‌گذاشتن
                        :ARG0 x3
                        :ARG1 (x9 / نقاشی‌کردن
                              :topic (x11 / مار
                                    :mod (x12 / بوآ)
                                    :mod (x13 / یا
                                          :op1 (x14 / باز)
                                          :op2 (x15 / بسته)))))
                  :op2 (x16 / پرداختن
                        :ARG0 x3
                        :ARG1 (x17 / و
                              :op1 (x18 / جغرافیا)
                              :op2 (x19 / تاریخ)
                              :op3 (x20 / حساب)
                              :op4 (x21 / دستور
                                    :topic (x22 / زبان)))))))"
18,"That is why , at the age of six , I gave up what might have been a magnificent career as a painter .","(c2 / cause-01
      :ARG0 (t2 / that)
      :ARG1 (g / give-up-07
            :ARG0 (i / i)
            :ARG1 (c / career
                  :mod (m / magnificent)
                  :topic (p / person
                        :ARG0-of (p2 / paint-02)))
            :time (a / age-01
                  :ARG1 i
                  :ARG2 (t / temporal-quantity :quant 6
                        :unit (y / year)))))",就 这样 ， 在 六 岁 的 那 年 ， 我 就 放弃 了 当 画家 这 一 美好 的 职业 。,"(x13 / 放弃-01
      :arg0()  (x11 / 我)
      :mod()  (x12 / 就)
      :aspect()  (x14 / 了)
      :arg1()  (x21 / 职业
            :mod(x20)  (x19 / 美好)
            :arg0-of()  (x48 / mean
                  :arg1()  (x15 / 当-02
                        :arg1()  (x16 / 画家)))
            :mod()  (x17 / 这)
            :quant()  (x18 / 1))
      :time()  (x53 / age
            :arg0()  (x11 / 我)
            :arg1()  (x54 / temporal-quantity
                  :quant()  (x5 / 6)
                  :unit()  (x6 / 岁)))
      :manner()  (x2 / 这样
            :mod()  (x1 / 就)))",این بود که در شش سالگی از کار زیبای نقاشی دست کشیدم .,"(c / cause-01
      :ARG0 (x / این)
      :ARG1 (x2 / دست‌کشیدن
            :ARG0 (x3 / من)
            :ARG1 (x4 / نقاشی‌کردن
                  :mod (x5 / زیبا))
            :time (a / age-01
                  :ARG1 (x8 / x3)
                  :ARG2 (t / temporal_quantity :quant 6
                        :unit (x6 / سال)))))"
19,I had been disheartened by the failure of my Drawing Number One and my Drawing Number Two .,"(d / dishearten-01
      :ARG0 (f / fail-01
            :ARG1 (a / and
                  :op1 (p / picture :wiki -
                        :name (n / name :op1 ""Drawing"" :op2 ""Number"" :op3 ""One""))
                  :op2 (p2 / picture :wiki -
                        :name (n2 / name :op1 ""Drawing"" :op2 ""Number"" :op3 ""Two""))
                  :poss i))
      :ARG1 (i / i))",我 的 第一 号 、 第二 号 作品 的 不 成功 ， 使 我 泄 了 气 。,"(x15_x17 / 泄气-01
      :aspect()  (x16 / 了)
      :cause(x13)  (x11 / 成功-01
            :polarity()  (x10 / -)
            :arg0-of(x9)  (x26 / and
                  :op1()  (x8 / 作品
                        :ord()  (x29 / and
                              :op1()  (x30 / ordinal-entity
                                    :value()  (x3 / 1)
                                    :cunit()  (x4 / 号))
                              :op2()  (x33 / ordinal-entity
                                    :value()  (x6 / 2)
                                    :cunit()  (x7 / 号)))
                        :poss(x2)  (x1 / 我))))
      :arg0()  (x14 / x1))",از نامرادی تصویر شماره ۱ و تصویر شماره ۲ خود دلسرد شده بودم .,"(x / دلسردکردن
      :ARG1 (x2 / من)
      :ARG2 (x3 / نامرادی
            :ARG0 (x4 / و
                  :op1 (x5 / تصویر :name (n / name :op1 ""تصویر"" :op2 ""شماره"" :op3 ""۱""))
                  :op2 (x6 / تصویر :name (n2 / name :op1 ""تصویر"" :op2 ""شماره"" :op3 ""۲""))
                  :poss x2)))"
20,"Grown - ups never understand anything by themselves , and it is tiresome for children to be always and forever explaining things to them .","(a / and
      :op1 (u / understand-01 :polarity -
            :ARG0 (g / grown-up)
            :ARG1 (a3 / anything)
            :time (e2 / ever)
            :mod (b / by-oneself))
      :op2 (t / tiresome
            :domain (e / explain-01
                  :ARG0 (c / child)
                  :ARG1 (t2 / thing)
                  :ARG2 g
                  :time (a4 / always)
                  :mod (f / forever))))",这些 大人们 ， 靠 他们 自己 什么 也 弄 不 懂 ， 还 得 老是 不断 地 给 他们 作 解释 。,"(x25 / causation
      :arg1()  (x9_x11 / 弄懂
            :polarity()  (x10 / -)
            :manner()  (x4 / 靠-01
                  :arg1()  (x6 / 自己
                        :mod()  (x5 / 他们)
                        :arg0-of()  (x50 / mean
                              :arg1()  (x2 / 大人们
                                    :mod()  (x1 / 这些)))))
            :arg1()  (x53 / thing
                  :mod()  (x7 / 什么))
            :mod()  (x8 / 也))
      :arg2()  (x14 / 得-02
            :arg1()  (x20 / 作-01
                  :arg1()  (x21 / 解释
                        :manner(x17)  (x16 / 不断))
                  :arg1()  (x60 / beneficiary(x18)))
            :frequency()  (x15 / 老是)
            :mod()  (x13 / 还)))",آدم‌ بزرگ‌ها هیچ‌وقت به تنهایی چیزی نمی‌فهمند و برای بچه‌ها هم خسته‌کننده است که همیشه به ایشان توضیح بدهند .,"(x / و
      :op1 (x2 / فهماندن :polarity -
            :ARG1 (x3 / آدم
                  :mod (x4 / بزرگ))
            :ARG2 (x5 / چیز)
            :time (x6 / هیچ‌وقت)
            :manner (x7 / تنهابودن))
      :op2 (x8 / خسته‌کردن
            :ARG0 (x12 / توضیح‌دادن
                  :ARG0 (x10 / بچه)
                  :ARG2 x3
                  :time (x11 / همیشه))
            :ARG1 x10))"
21,"So then I chose another profession , and learned to pilot airplanes .","(c2 / cause-01
  :ARG1 (a / and
          :op1 (c / choose-01
                 :ARG0 (i / i)
                 :ARG1 (p / profession
                         :mod (a2 / another)))
          :op2 (l / learn-01
                 :ARG0 i
                 :ARG1 (p2 / pilot-01
                         :ARG0 i
                         :ARG1 (a3 / airplane)))))",后来 ， 我 只好 选择 了 另外 一 个 职业 ， 我 学会 了 开 飞机 。,"(x17 / temporal
      :arg2(x1)  (x19 / expansion
            :arg1()  (x5 / 选择-01
                  :arg0()  (x3 / 我)
                  :aspect()  (x6 / 了)
                  :arg1()  (x10 / 职业
                        :quant()  (x8 / 1)
                        :cunit()  (x9 / 个)
                        :mod()  (x7 / 另外))
                  :mod()  (x4 / 只好))
            :arg2()  (x13 / 学会-01
                  :arg0()  (x12 / x3)
                  :aspect()  (x14 / 了)
                  :arg1()  (x15 / 开
                        :arg1()  (x16 / 飞机)
                        :arg0()  (x12 / x3)))))",بنابراین ناچار شدم شغل دیگری برای خود انتخاب کنم و این بود که خلبانی یاد گرفتم .,"(c / cause-01
      :ARG1 (x / ناچارکردن
            :ARG1 (x10 / من)
            :ARG2 (x2 / انتخاب‌کردن
                  :ARG0 x10
                  :ARG1 (x4 / شغل
                        :mod (x5 / دیگر))
                  :ARG3 x10
                  :ARG0-of (c2 / cause-01
                        :ARG1 (x6 / یادگرفتن
                              :ARG0 x10
                              :ARG1 (x7 / خلبانی‌کردن))))))"
